date,avg
2024-10-29 15:20:00+10:00,60.0
2024-10-29 15:23:00+10:00,71.0
2024-10-29 15:23:00+10:00,71.0
2024-10-29 15:30:00+10:00,64.0
2024-10-29 15:30:00+10:00,64.0
2024-10-29 15:35:00+10:00,63.0
2024-10-29 15:35:00+10:00,63.0
2024-10-29 15:39:00+10:00,61.777677536010735
2024-10-29 15:39:00+10:00,61.777677536010735
2024-10-29 15:43:00+10:00,60.0
2024-10-29 15:43:00+10:00,60.0
2024-10-29 15:47:00+10:00,63.0
2024-10-29 15:47:00+10:00,63.0
2024-10-29 15:48:00+10:00,65.0
2024-10-29 15:48:00+10:00,65.0
2024-10-29 15:53:00+10:00,62.00000000000001
2024-10-29 15:53:00+10:00,62.00000000000001
2024-10-29 15:57:00+10:00,64.0
2024-10-29 15:57:00+10:00,64.0
2024-10-29 16:04:00+10:00,60.0
2024-10-29 16:04:00+10:00,60.0
2024-10-29 16:07:00+10:00,65.0
2024-10-29 16:07:00+10:00,65.0
2024-10-29 16:11:00+10:00,66.0
2024-10-29 16:11:00+10:00,66.0
2024-10-29 16:17:00+10:00,66.0
2024-10-29 16:17:00+10:00,66.0
2024-10-29 16:21:00+10:00,59.0
2024-10-29 16:21:00+10:00,59.0
2024-10-29 16:27:00+10:00,92.375
2024-10-29 16:27:00+10:00,92.375
2024-10-29 16:34:00+10:00,79.0
2024-10-29 16:34:00+10:00,79.0
2024-10-29 16:39:00+10:00,66.0
2024-10-29 16:39:00+10:00,66.0
2024-10-29 16:45:00+10:00,99.44705882563308
2024-10-29 16:45:00+10:00,99.44705882563309
2024-10-29 16:51:00+10:00,94.88194444444444
2024-10-29 16:51:00+10:00,94.88194444444444
2024-10-29 16:52:00+10:00,91.0
2024-10-29 16:52:00+10:00,91.0
2024-10-29 17:00:00+10:00,102.0
2024-10-29 17:00:00+10:00,102.0
2024-10-29 17:02:00+10:00,95.0
2024-10-29 17:02:00+10:00,95.0
2024-10-29 17:34:00+10:00,79.0
2024-10-29 17:34:00+10:00,79.0
2024-10-29 17:39:00+10:00,71.0
2024-10-29 17:39:00+10:00,71.0
2024-10-29 17:40:00+10:00,70.0
2024-10-29 17:40:00+10:00,70.0
2024-10-29 17:47:00+10:00,66.0
2024-10-29 17:47:00+10:00,66.0
2024-10-29 17:50:00+10:00,75.76883697509766
2024-10-29 17:50:00+10:00,75.76883697509766
2024-10-29 17:52:00+10:00,67.0
2024-10-29 17:52:00+10:00,67.0
2024-10-29 17:59:00+10:00,72.0
2024-10-29 17:59:00+10:00,72.0
2024-10-29 18:02:00+10:00,64.0
2024-10-29 18:02:00+10:00,64.0
2024-10-29 18:07:00+10:00,67.0
2024-10-29 18:07:00+10:00,67.0
2024-10-29 18:10:00+10:00,72.0
2024-10-29 18:10:00+10:00,72.0
2024-10-29 18:18:00+10:00,72.0
2024-10-29 18:18:00+10:00,72.0
2024-10-29 18:24:00+10:00,74.0
2024-10-29 18:24:00+10:00,74.0
